Probe,p-value,q_value,DEG
203432_at,0.0010028144463135134,0.04767728682799248,1.0
203438_at,0.000953010954355744,0.04584197078067179,1.0
203439_s_at,0.0005149489934775423,0.030092837163928122,1.0
203492_x_at,3.348531900262912e-05,0.005416597090144222,1.0
203493_s_at,2.382447269962897e-05,0.004464594981891986,1.0
203494_s_at,5.881863635796053e-05,0.007722060466260552,1.0
203509_at,6.654581683582311e-06,0.002288297192137502,1.0
203511_s_at,1.0690227955177291e-05,0.0029519606739864565,1.0
203513_at,6.89924907178532e-05,0.008457767780265973,1.0
203554_x_at,3.311168231578765e-05,0.00540733458583658,1.0
203571_s_at,1.6581496998478493e-06,0.0011965908992508476,1.0
203594_at,0.0004994127129631682,0.029712067553059,1.0
203612_at,0.0001154912397660962,0.011736958242028457,1.0
203614_at,0.00040711950052414806,0.025594717457335915,1.0
203622_s_at,2.4982951965805395e-05,0.00458370100245104,1.0
203625_x_at,4.691634976106603e-06,0.0019001121653231744,1.0
203649_s_at,0.0006892569752779643,0.03644596240166605,1.0
203685_at,0.00031111726463666953,0.02241377398530199,1.0
203693_s_at,3.888095697839947e-05,0.005938034421212266,1.0
203710_at,0.00022942106472177638,0.01828512640475674,1.0
203711_s_at,1.97497007741581e-05,0.0040905121450992765,1.0
203712_at,3.59451375568519e-07,0.0005819512607293851,1.0
203744_at,5.191927852575717e-05,0.007079018836398437,1.0
203746_s_at,0.0003620436772799271,0.024743422569100018,1.0
203755_at,1.6877537847233528e-06,0.0011984147815551859,1.0
203764_at,0.00010398764765638029,0.010870984006907444,1.0
203773_x_at,0.0009299916217028089,0.045318441993405595,1.0
203780_at,1.2782372231341615e-06,0.0011093273043628615,1.0
203789_s_at,0.00014741912859574932,0.013795434388388228,1.0
203791_at,9.99682332511864e-07,0.0009937751187288394,1.0
203797_at,0.0004874051703124503,0.029081571184866564,1.0
203819_s_at,4.989731340841849e-06,0.001973377663081579,1.0
203820_s_at,0.00040487944484400367,0.025561928886897445,1.0
203856_at,0.00019669878982901012,0.016419093639543705,1.0
203925_at,0.00040581169225106507,0.025561928886897445,1.0
203928_x_at,0.0008154998025922971,0.04115456653943086,1.0
203943_at,9.197004732537974e-05,0.009937672603784855,1.0
203963_at,3.377149426130619e-08,0.00015312507727994925,1.0
203988_s_at,6.071122358547213e-06,0.002155445551646551,1.0
204014_at,3.9791546992205795e-05,0.005963612494359675,1.0
204015_s_at,0.0008145931213751945,0.04115456653943086,1.0
204023_at,4.374867116546581e-05,0.006395611219176051,1.0
204026_s_at,0.00038843361115736624,0.025561928886897445,1.0
204030_s_at,8.441829694252859e-07,0.0009631928828867648,1.0
204033_at,1.4594703232088748e-05,0.003517227567293261,1.0
204045_at,7.034770829776145e-05,0.00852829479197363,1.0
204098_at,4.0972124120094606e-06,0.0017528039660277108,1.0
204127_at,0.0006277771914777408,0.03428546289378226,1.0
204146_at,1.8787079096660662e-06,0.001235074433214918,1.0
204159_at,0.0008321268411151552,0.041875092177706214,1.0
204162_at,2.019833795797991e-06,0.0012840101963785364,1.0
204170_s_at,0.001060570273853991,0.04981394171195029,1.0
204203_at,1.1215390782494084e-07,0.00027872795046948365,1.0
204208_at,0.00040487944484400367,0.025561928886897445,1.0
204228_at,0.0005342907387566141,0.03052487165731478,1.0
204240_s_at,8.997118499949311e-05,0.009870319189816472,1.0
204244_s_at,5.544813235825924e-05,0.0074122900652514034,1.0
204252_at,0.00036275690150855937,0.02476121546814043,1.0
204258_at,0.0006694880473076571,0.035921745816041364,1.0
204259_at,0.00011896825715124243,0.01202327072041438,1.0
204284_at,0.0008636825212030819,0.0426960595359661,1.0
204496_at,6.937136153733974e-05,0.00846099585727916,1.0
204508_s_at,1.4810395401671691e-05,0.003537376375640961,1.0
204510_at,0.00032858281844723306,0.023271069428241538,1.0
204615_x_at,0.00022324261593127236,0.01794969121476811,1.0
204623_at,0.0009375501350931781,0.04556493656552845,1.0
204630_s_at,0.0009464086255127732,0.045791939468947676,1.0
204667_at,7.695970797037996e-05,0.009029553719486104,1.0
204675_at,1.497108520965611e-08,0.00010454517221492819,1.0
204703_at,0.0002528573749725733,0.01960989642074531,1.0
204725_s_at,0.00037200377687070626,0.025329148817441926,1.0
204751_x_at,1.642028130339468e-09,5.793277070698983e-05,1.0
204767_s_at,4.4807975796094595e-05,0.0065090716494631915,1.0
204798_at,1.18329797360765e-05,0.003138220644087834,1.0
204812_at,2.217841031708483e-05,0.004278443263835051,1.0
204822_at,1.0653721640931417e-05,0.0029519606739864565,1.0
204825_at,1.222783265853825e-05,0.0031988361272994197,1.0
204831_at,0.0001455415154402735,0.013713178006485508,1.0
204862_s_at,0.000672342092055282,0.03600421536055098,1.0
204863_s_at,4.2924661202890156e-07,0.0006705445289337198,1.0
204881_s_at,1.8386664541239375e-05,0.004021163535169051,1.0
204900_x_at,1.304452879305522e-05,0.003286343676578576,1.0
204962_s_at,2.2138464303320838e-05,0.004278443263835051,1.0
205004_at,9.116618547521387e-05,0.009870319189816472,1.0
205009_at,0.00012013088305081711,0.012073816233094533,1.0
205029_s_at,1.4909923668433766e-06,0.0011716111578807316,1.0
205030_at,1.5296961640958856e-08,0.00010454517221492819,1.0
205044_at,0.00010190566471753657,0.010776967540486097,1.0
205047_s_at,8.218984473315713e-05,0.009381481755293039,1.0
205081_at,1.7883577686128495e-05,0.003983114574037478,1.0
205087_at,0.00014191717488375164,0.013433493938887306,1.0
205120_s_at,7.894874895901128e-06,0.0025006257684191562,1.0
205126_at,6.696728617276074e-05,0.00824647831417949,1.0
205157_s_at,0.00020569635338180887,0.016926277872538798,1.0
205160_at,0.0004877512716327872,0.029081571184866564,1.0
205196_s_at,0.00040487944484400367,0.025561928886897445,1.0
205201_at,0.000523472375282087,0.03015895902902856,1.0
205206_at,0.0007810693226882468,0.03994851750980345,1.0
205225_at,7.378078638462144e-08,0.0002123139208199567,1.0
205240_at,1.978713801386647e-05,0.0040905121450992765,1.0
205339_at,0.00015946679766890788,0.014459116355800229,1.0
205347_s_at,2.892161277003182e-09,5.793277070698983e-05,1.0
205350_at,3.526550380392112e-06,0.0016479841200678525,1.0
205363_at,0.0007966794193237695,0.04051948581537405,1.0
205475_at,2.9103558918517417e-05,0.00503556039199348,1.0
205548_s_at,0.0001270664652565399,0.012540359183937397,1.0
205624_at,0.0006339283217666014,0.03441909731140907,1.0
205763_s_at,0.000248068121225222,0.019440475716818745,1.0
205787_x_at,0.0006976790194755098,0.036604595890240954,1.0
205809_s_at,0.00013749858583483586,0.013165910999158759,1.0
206023_at,0.00040487944484400367,0.025561928886897445,1.0
206032_at,2.7243177134927155e-08,0.000135410973622922,1.0
206055_s_at,0.0009581081196762532,0.04599171329525825,1.0
206102_at,0.00019880110468263856,0.016544064533520947,1.0
206245_s_at,8.802464799301138e-05,0.009823242473045477,1.0
206348_s_at,0.00040487944484400367,0.025561928886897445,1.0
206364_at,0.00019669878982901012,0.016419093639543705,1.0
206391_at,0.0003792603898248741,0.025561928886897445,1.0
206392_s_at,0.0003870927605354229,0.025561928886897445,1.0
206401_s_at,0.0005227361720761981,0.03015895902902856,1.0
206445_s_at,0.0010660596411386945,0.04998868857569307,1.0
206453_s_at,0.0008550799474781699,0.04246275760978105,1.0
206555_s_at,0.00018445144397033494,0.01583184097186509,1.0
206560_s_at,5.593701666291107e-05,0.007459405819621129,1.0
206567_s_at,0.00016039768515505682,0.01449544369562435,1.0
206734_at,2.1802685264052178e-07,0.0003973539389373509,1.0
206833_s_at,0.00016399228403931134,0.014679320151983193,1.0
206989_s_at,1.1881329187493033e-05,0.003138220644087834,1.0
207076_s_at,5.508787943821506e-05,0.00740031893927373,1.0
207165_at,2.5386657638395087e-06,0.0014163423534482157,1.0
207186_s_at,0.0001703268743057574,0.015044623348412417,1.0
207305_s_at,0.0001281895428097407,0.01259607803213941,1.0
207405_s_at,1.3654853820357242e-05,0.003378186120488834,1.0
207469_s_at,5.979545567025213e-05,0.007802664770336599,1.0
207551_s_at,0.0001648486981859658,0.014679320151983193,1.0
207616_s_at,0.0005527925688694044,0.03122307200716393,1.0
207801_s_at,5.772460693913627e-05,0.007623412764244627,1.0
207828_s_at,5.190872190556386e-05,0.007079018836398437,1.0
207843_x_at,5.654669814973403e-06,0.00207496021566222,1.0
207847_s_at,8.456251799261826e-05,0.009513283274169554,1.0
208079_s_at,5.3113131047336764e-05,0.00720585717124848,1.0
208103_s_at,1.0260796949605685e-05,0.002864015889837302,1.0
208308_s_at,0.0009422856529843445,0.04563283266334724,1.0
208310_s_at,0.00026671224198668953,0.020338203389989193,1.0
208370_s_at,7.816387532881046e-05,0.00907348170616287,1.0
208433_s_at,1.97497007741581e-05,0.0040905121450992765,1.0
208451_s_at,0.0005176899005939224,0.030143445489853787,1.0
208610_s_at,0.00012036551540146851,0.01207520101756934,1.0
208682_s_at,0.0006443912847945596,0.03488326088726985,1.0
208685_x_at,0.0009089092488159651,0.04452922327868539,1.0
208709_s_at,0.0009171906504083911,0.0448144761493108,1.0
208714_at,0.0008051476878898726,0.04083622433708607,1.0
208757_at,0.0003827895463760377,0.025561928886897445,1.0
208763_s_at,0.00018403219104755713,0.01582069189547985,1.0
208772_at,9.820415933924851e-05,0.010446133097029985,1.0
208774_at,0.0007346173318527912,0.038107402864375105,1.0
208795_s_at,8.438520974164282e-05,0.009512909984792414,1.0
208828_at,3.428061796743126e-05,0.005456003241843955,1.0
208859_s_at,0.0006256339765205475,0.03427508784194482,1.0
208867_s_at,0.000612475156082637,0.03379119995844418,1.0
208873_s_at,0.0005084627873861659,0.030021817386974754,1.0
208879_x_at,0.000860032198523631,0.04259262722307928,1.0
208881_x_at,0.0005080620955713493,0.030021817386974754,1.0
208896_at,0.0008906994763498646,0.04379405923509788,1.0
208897_s_at,4.271164015067571e-06,0.0017963530194139957,1.0
208900_s_at,0.00015584305312390005,0.014320536016049134,1.0
208933_s_at,2.0431437967065873e-06,0.0012840101963785364,1.0
208935_s_at,9.33684916195675e-07,0.0009631928828867648,1.0
208939_at,0.00028539191716838087,0.021258587290437635,1.0
208941_s_at,7.47817519550256e-06,0.0024166840651379936,1.0
208964_s_at,0.0009530656114568566,0.04584197078067179,1.0
208969_at,8.346111542351526e-05,0.009467295613652898,1.0
208999_at,4.974502627519668e-05,0.006922500902495584,1.0
209016_s_at,0.00020476918116773415,0.016912016586625174,1.0
209049_s_at,0.0002594681504432806,0.019952772328391516,1.0
209070_s_at,0.000512704849761918,0.03008084306364946,1.0
209071_s_at,0.0003124314730966823,0.022447031263549414,1.0
209080_x_at,0.00021868039568909001,0.017713112050816292,1.0
209110_s_at,1.913420145019486e-05,0.0040905121450992765,1.0
209130_at,1.1343380091957274e-05,0.003061888684014441,1.0
209155_s_at,5.278422609130944e-06,0.002004151084404405,1.0
209167_at,0.00021493708545334083,0.01751368874390672,1.0
209170_s_at,0.0007451218232062168,0.03857910576117415,1.0
209173_at,1.2457104764213306e-06,0.001098535811263488,1.0
209204_at,0.000529619228586278,0.030321394055449997,1.0
209219_at,0.0004119149378444749,0.0257718474743805,1.0
209228_x_at,0.000675752853350368,0.036151455241615824,1.0
209272_at,0.0001959749061792066,0.016419093639543705,1.0
209283_at,2.4428354779822816e-06,0.0013861944829522382,1.0
209284_s_at,3.698557462009731e-05,0.005744847421459717,1.0
209293_x_at,0.00040487944484400367,0.025561928886897445,1.0
209313_at,0.00022522961542201743,0.01802991101493236,1.0
209317_at,0.0004874051703124503,0.029081571184866564,1.0
209332_s_at,0.0004615083757006485,0.0282564058694658,1.0
209341_s_at,0.00015827585151954312,0.014397880764562694,1.0
209363_s_at,0.00040487944484400367,0.025561928886897445,1.0
209366_x_at,2.6167610942852025e-05,0.004737464000994816,1.0
209369_at,0.0007258509738336715,0.037724241439501885,1.0
209373_at,2.9537160008954964e-05,0.00504670069840504,1.0
209375_at,0.0002125472475274071,0.01739994787588239,1.0
209376_x_at,7.197598165927117e-05,0.008680971735423537,1.0
209404_s_at,0.0009666570538110597,0.04636138106764885,1.0
